Depth,Lith_geo,CALI,DRHO,NPHI,RHOB,GR,DTC,DTE,RDEP,SP,RSHA,Rxo,RMED
3671.794434,2,8.187999725,-0.012,0.170900002,2.392999888,27.01399994,75.17645264,22184426,1.103999972,21.15800095,3.769999981,5.269000053,3.769999981
3671.947022,16,8.203000069,-0.021,0.15527001,2.405999899,23.17499924,70.69760895,20819914,1.136999965,21.32999992,4.912000179,9.729000092,4.912000179
3672.099365,16,8.187999725,-0.022,0.141599998,2.470999956,24.41799927,66.08961487,19450384,1.144000053,21.67399979,6.109000206,9.329000473,6.109000206
3672.251709,2,8.234000206,-0.028999999,0.112790003,2.503999949,27.44300079,66.74780273,19627104,1.134999991,21.4260006,5.525000095,21.64500046,5.525000095
3672.404053,2,8.281000137,-0.014,0.097659998,2.545000076,33.59500122,71.27878571,20971834,1.105000019,19.87000084,3.851999998,8.392000198,3.851999998
3672.556641,2,8.265999794,-0.003,0.115229994,2.503999949,36.17499924,75.88104248,22388022,1.05400002,20.21999931,2.934000015,3.832999945,2.934000015
3672.708984,4,8.296999931,0.003,0.146969989,2.454999924,38.74200058,80.70846558,23818574,1,20.1439991,2.614000082,3.707000017,2.614000082
3672.861328,4,8.328000069,0,0.163570002,2.411999941,39.80899811,81.54597473,24127114,0.941999972,21.06299973,2.434000015,4.204999924,2.434000015
3673.013672,4,8.296999931,-0.006,0.167970002,2.377000094,41.92699814,81.28414917,24059790,0.89200002,22.20100021,2.299000025,3.596999884,2.299000025
3673.166016,4,8.312999725,-0.011,0.178220004,2.362999916,41.84400177,80.72676849,23891968,0.860000014,23.23200035,2.292999983,3.549000025,2.292999983
3673.318604,4,8.296999931,-0.013,0.193849996,2.357000113,38.04299927,79.66272736,23577200,0.837000012,23.59600067,2.400000095,3.619999886,2.400000095
3673.470947,4,8.305000305,-0.017000001,0.205079988,2.372999907,36.87900162,80.86637878,23901398,0.833999991,23.86199951,2.493999958,3.503000021,2.493999958
3673.623291,4,8.312999725,-0.008,0.205569997,2.400000095,43.06399918,80.85424042,23946308,0.848999977,24.98200035,2.47300005,3.405999899,2.47300005
3673.775635,5,8.328000069,-0.011,0.208010003,2.404000044,50.12200165,79.69524384,23592292,0.875999987,25.65600014,2.437999964,3.247999907,2.437999964
3673.928223,5,8.328000069,-0.012,0.208010003,2.411999941,55.75400162,79.92928314,23607880,0.907000005,25.37899971,2.405999899,2.878000021,2.405999899
3674.080566,5,8.281000137,-0.016000001,0.207029998,2.411999941,51.36500168,79.2308197,23418378,0.938000023,24.8029995,2.471999884,3.836999893,2.471999884
3674.23291,5,8.281000137,-0.012,0.207029998,2.437999964,47.36299896,79.56793976,23528114,0.986000001,25.26600075,2.565999985,2.812999964,2.565999985
3674.385254,4,8.265999794,-0.011,0.205079988,2.430000067,43.39400101,78.78786469,23215976,1.046000004,25.82799912,2.665999889,2.832000017,2.665999889
3674.537842,4,8.281000137,-0.004,0.206049994,2.437999964,39.42499924,79.5927887,23547110,1.146000028,26.00200081,2.773000002,3.214999914,2.773000002
3674.690186,4,8.305000305,-0.003,0.208499998,2.424000025,43.16899872,79.99830627,23644796,1.284999967,25.00799942,2.77699995,3.388000011,2.77699995
3674.842529,4,8.343999863,0.002,0.205079988,2.414000034,38.42900085,78.40409851,23202392,1.470000029,25.64100075,2.825999975,3.351000071,2.825999975
3674.994873,4,8.430000305,0.009,0.195800006,2.414000034,39.86800003,75.2574234,22212970,1.674000025,27.15200043,3.157000065,3.875,3.157000065
3675.147461,4,8.546999931,-0.002,0.1875,2.440999985,33.1570015,71.45905304,21023088,1.883000016,28.03000069,3.941999912,5.883999825,3.941999912
3675.299805,4,8.734000206,-0.003,0.172849998,2.52699995,33.6230011,65.81270599,19344834,2.069999933,29.3579998,5.389999867,12.93700028,5.389999867
3675.452148,4,8.866999626,-0.005,0.148929998,2.61500001,34.83800125,62.04978943,18198456,2.190999985,30.07799912,8.336999893,17.31100082,8.336999893
3675.604492,16,8.937999725,0.029999999,0.116210006,2.686000109,37.33200073,60.51709366,17699468,2.246000052,31.17000008,11.30599976,33.76499939,11.30599976
3675.756836,16,8.937999725,0.039999999,0.095699996,2.677999973,37.7480011,63.59557343,18657414,2.226999998,30.98800087,10.44200039,34.11100006,10.44200039
3675.909424,4,8.819999695,0.028000001,0.097170003,2.622999907,34.29800034,65.32138825,19197650,2.118000031,31.42299843,7.642000198,26.98699951,7.642000198
3676.061768,4,8.538999558,0.015,0.117189996,2.585999966,36.39599991,68.60926056,20109686,1.963000059,29.37199974,5.890999794,7.609000206,5.890999794
3676.214111,4,8.444999695,0.021,0.137209997,2.561000109,38.52099991,72.03433991,21225876,1.809999943,28.61599922,4.646999836,8.56099987,4.646999836
3676.366455,4,8.319999695,0.021,0.15527001,2.552999973,41.61000061,69.56935883,20456952,1.644999981,28.36400032,3.822000027,6.642000198,3.822000027
3676.519043,4,8.336000443,0.011,0.158690006,2.540999889,39.19900131,66.6155014,19547426,1.470000029,27.47599983,3.714999914,2.973999977,3.714999914
3676.671387,4,8.397999764,0.023,0.15625,2.585999966,38.87599945,66.3460846,19504272,1.319000006,25.4810009,4.710000038,14.85099983,4.710000038
3676.823731,4,8.305000305,0.061999999,0.139160007,2.657999992,36.29399872,69.41802216,20433826,1.200999975,24.60099983,4.971000195,30.51499939,4.971000195
3676.976074,4,8.234000206,0.075000003,0.138180003,2.645999908,35.2859993,74.58879089,21981206,1.121999979,24.96999931,3.667999983,11.18500042,3.667999983
3677.128662,4,8.25,0.033,0.152339995,2.520999908,34.72100067,80.78881836,23898114,1.067999959,24.61400032,2.888999939,5.140999794,2.888999939
3677.281006,4,8.359000206,0.006,0.173339993,2.437999964,37.27299881,82.47414398,24413564,1.029000044,24.1760006,2.611999989,3.999000073,2.611999989
3677.43335,4,8.375,-0.007,0.180179998,2.392999888,32.95800018,83.25186157,24622374,1.003999949,25.4659996,2.40899992,4.138999939,2.40899992
3677.585693,4,8.375,-0.006,0.184570015,2.410000086,33.77700043,83.42927551,24704886,0.986000001,26.06299973,2.234999895,2.507999897,2.234999895
3677.738037,4,8.413999558,-0.009,0.206539989,2.414000034,32.97299957,83.98767853,24830844,0.996999979,26.54800034,2.190000057,1.649999976,2.190000057
3677.890625,4,8.383000374,-0.009,0.229000002,2.426000118,38.56700134,83.93636322,24883564,1.023000002,27.17200089,2.428999901,3.729000092,2.428999901
3678.042969,4,8.319999695,-0.01,0.237789989,2.407999992,37.94100189,80.5918808,23827668,1.083999991,28.8390007,2.844000101,4.197000027,2.844000101
3678.195313,4,8.343999863,-0.013,0.221679986,2.388999939,39.21300125,80.26012421,23727398,1.195000053,30.07500076,3.009000063,4.782999992,3.009000063
3678.347656,4,8.397999764,-0.002,0.207029998,2.395999908,40.43199921,78.70700073,23259872,1.375,28.30800057,2.864000082,4.729000092,2.864000082
3678.500244,4,8.390999794,-0.011,0.194820002,2.395999908,40.65499878,73.82789612,21754376,1.613999963,27.81800079,2.78399992,3.897000074,2.78399992
3678.652588,4,8.413999558,-0.007,0.193360001,2.440999985,40.5320015,69.06291962,20344978,1.878999949,28.51499939,3.446000099,4.396999836,3.446000099
3678.804932,4,8.522999764,-0.018999999,0.176760003,2.493999958,38.38499832,64.24427795,18868092,2.142999888,28.44099999,5.870999813,46.61600113,5.870999813
3678.957275,16,8.538999558,-0.006,0.148929998,2.588000059,36.66500092,58.27115631,17052118,2.375999928,27.22800064,12.4289999,31.7310009,12.4289999
3679.109863,16,8.602000237,-0.002,0.106929995,2.641000032,34.60699844,57.337677,16715666,2.54399991,28.20000076,24.04999924,29.2140007,24.04999924
3679.262207,4,8.656000137,0.006,0.083500005,2.644999981,32.60300064,63.12633896,18492232,2.657999992,29.18600082,16.20999908,45.53099823,16.20999908
3679.414551,4,8.586000443,0.035,0.087889999,2.655999899,32.37599945,68.0623169,19957890,2.676000118,28.83300018,7.731999874,35.09999847,7.731999874
3679.566895,4,8.453000069,0.018999999,0.125,2.561000109,30.75799942,71.54130554,21092870,2.505000114,29.06399918,4.375,6.487999916,4.375
3679.719238,4,8.375,0.005,0.15527001,2.483999968,32.48899841,75.99594116,22428964,2.184000015,28.64599991,3.733999968,4.333000183,3.733999968
3679.871826,4,8.430000305,-0.017000001,0.177249998,2.427999973,29.78300095,77.28614807,22857246,1.856999993,29.49799919,3.947999954,4.619999886,3.947999954
3680.02417,4,8.397999764,-0.017999999,0.175289989,2.438999891,32.11399841,76.5319519,22575908,1.603000045,28.60099983,4.043000221,8.010000229,4.043000221
3680.176514,4,8.397999764,-0.013,0.176270008,2.444999933,35.79499817,78.67852783,23250528,1.439000011,29.51399994,3.507999897,5.151000023,3.507999897
3680.328857,4,8.461000443,-0.011,0.187010005,2.415999889,38.33200073,80.50964356,23789818,1.345000029,26.6420002,3.017999888,4.301000118,3.017999888
3680.481445,4,8.421999931,-0.005,0.186039999,2.392999888,36.75999832,79.69877625,23593018,1.274000049,26.05400085,2.836999893,4.002999783,2.836999893
3680.633789,4,8.343999863,-0.01,0.196290001,2.381000042,31.72699928,81.18635559,23992078,1.218999982,25.87899971,2.867000103,4.30700016,2.867000103
3680.786133,4,8.397999764,-0.012,0.181150004,2.384999991,37.31700134,80.76042938,23905024,1.195000053,25.83099937,2.928999901,4.086999893,2.928999901
3680.938477,4,8.375,-0.023,0.183589995,2.387000084,39.92499924,79.89969635,23640620,1.205000043,24.99099922,2.980000019,4.393000126,2.980000019
3681.091065,4,8.390999794,-0.021,0.181639999,2.405999899,43.07400131,79.77080536,23579708,1.230000019,26.63299942,3.048000097,4.399000168,3.048000097
3681.243408,4,8.390999794,-0.012,0.188960001,2.437999964,37.90000153,78.19715118,23064762,1.261999965,28.92900085,3.378999949,5.025000095,3.378999949
3681.395752,4,8.461000443,-0.016000001,0.173829988,2.443000078,38.27899933,74.60597229,22039362,1.289000034,29.18899918,4.113999844,5.063000202,4.113999844
3681.548096,4,8.491999626,-0.016000001,0.166989997,2.447000027,35.88700104,74.19887543,21881114,1.307000041,29.17499924,4.520999908,10.22599983,4.520999908
3681.70044,4,8.508000374,-0.018999999,0.154789999,2.460999966,36.31000137,74.47134399,21973002,1.322000027,30.38599968,4.046000004,8.211999893,4.046000004
3681.853027,4,8.515999794,-0.009,0.167479992,2.483999968,34.72900009,75.39419556,22281794,1.330000043,30.88999939,3.443000078,5.499000073,3.443000078
3682.005371,4,8.390999794,-0.009,0.182619989,2.479000092,38.60599899,78.92238617,23323714,1.325999975,31.98200035,3.200000048,5.248000145,3.200000048
